Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Russian Federation,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
Brazil,41,Good,1,Good,5,Good,1,Good,41,Good
Italy,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
Poland,34,Good,1,Good,34,Good,0,Good,20,Good
France,22,Good,0,Good,22,Good,0,Good,6,Good
United States of America,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
Germany,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
Belgium,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
Russian Federation,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
Egypt,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups
China,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
Netherlands,41,Good,1,Good,24,Good,6,Good,41,Good
India,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
Pakistan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
Republic of North Macedonia,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
France,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
India,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
Italy,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
United States of America,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
India,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
Poland,28,Good,1,Good,28,Good,2,Good,28,Good
India,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups
Brazil,33,Good,0,Good,10,Good,1,Good,33,Good
China,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
Brazil,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
India,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
